		SummaryStats						TrimGalore (count no. pairs)						Bowtie  (count no. pairs)			Bowtie Inp  (count no. pairs)			Duplication (%)		fragmentMark	MACS2		
	Name     	Reads lane 1 (read1+2)	Reads lane 2 (read1+2)	Inp Reads 1 (read1+2)	Inp Reads 2(read1+2)	Sum treat (read1+2)	Sum Control (read1+2)	Sequences IN	Input Sequences IN	Sequences removed	Inp Sequences removed	output	Inp output	Aligned 1	Aligned >1	no align	Aligned 1	Aligned >1	no align	Treat	Inp	Fragment length	gapped peaks		
BM_B4M_C	BM_B4M_C	28202862	28200549	30317772	30333573	56403411	60651345	27897066	29991634	367267	386674	27529799	29604960	23663509	3163580	702710	19766359	7308908	2529693	35.0076	9.94477	229	30444		
BM_B_9M_C	BM_B_9M_C	31241838	31313656	30317772	30333573	62555494	60651345	30908663	29991634	282259	386674	30626404	29604960	16402581	13281447	942376	19766359	7308908	2529693	24.2013	9.94477	267	1624		
BM_B_20M_C	BM_B_20M_C	31132681	31196598	30317772	30333573	62329279	60651345	30772293	29991634	298736	386674	30473557	29604960	14775060	14677226	1021271	19766359	7308908	2529693	29.7971	9.94477	286	2981		
BM_B_36M_C	BM_B_36M_C	30388039	30461489	30317772	30333573	60849528	60651345	30145321	29991634	390777	386674	29754544	29604960	25103323	3515507	1135714	19766359	7308908	2529693	13.858	9.94477	265	30308		
BM_T_4M_C	BM_T_4M_C	27762857	27702621	30756274	30809395	55465478	61565669	27434936	30462955	412440	330439	27022496	30132516	23894470	1987461	1140565	20968396	7750489	1413631	26.3626	10.8675	241	31088		
BM_T_9M_C	BM_T_9M_C	32382068	32456241	30756274	30809395	64838309	61565669	32042368	30462955	327514	330439	31714854	30132516	16600198	14125583	989073	20968396	7750489	1413631	24.1613	10.8675	262	5692		
BM_T_20M_C	BM_T_20M_C	28755155	28809830	30756274	30809395	57564985	61565669	28436946	30462955	333430	330439	28103516	30132516	14293461	12740593	1069462	20968396	7750489	1413631	26.6956	10.8675	258	1526		
BM_T_36M_C	BM_T_36M_C	31134136	31187760	30756274	30809395	62321896	61565669	30887235	30462955	314562	330439	30572673	30132516	25276655	4685784	610234	20968396	7750489	1413631	10.5808	10.8675	258	35408		
CM_B27M_165	CM_B27M_165	32921039	32989600	28464705	28515344	65910639	56980049	32070484	27694988	429925	358675	31640559	27336313	20268511	9099023	2273025	17714863	6671308	2950142	15.8757	10.3639	266	241		
BM_B_4M_R                	BM_B_4M_R                	32680168	33315080	39669060	40404536	65995248	80073596	32997624	40036798	1569379	1215827	31428245	38820971	23478917	7389307	560021	27705200	10088105	1027666	11.9968	11.4906	351	19891		
BM_B_9M_R                	BM_B_9M_R                	35352726	36099144	39669060	40404536	71451870	80073596	35725935	40036798	1205012	1215827	34520923	38820971	17897812	15542165	1080946	27705200	10088105	1027666	28.2937	11.4906	347	223		
BM_B_20M_R               	BM_B_20M_R               	38253772	38817802	39669060	40404536	77071574	80073596	38535787	40036798	1455729	1215827	37080058	38820971	19795846	16100875	1183337	27705200	10088105	1027666	27.7542	11.4906	355	216		
BM_B_36M_R               	BM_B_36M_R               	38678936	39400440	39669060	40404536	78079376	80073596	39039688	40036798	1520306	1215827	37519382	38820971	28026587	8641346	851449	27705200	10088105	1027666	11.0483	11.4906	360	24554		
BM_T_4M_R                	BM_T_4M_R                	34083966	34650946	34327008	34812722	68734912	69139730	34367456	34569865	2626671	1029196	31740785	33540669	27800864	3286650	653271	24207031	8272893	1060745	4.82584	8.99572	292	23697		
BM_T_9M_R                	BM_T_9M_R                	34333204	35002596	34327008	34812722	69335800	69139730	34667900	34569865	1169942	1029196	33497958	33540669	16825556	15517825	1154577	24207031	8272893	1060745	27.1353	8.99572	327	2393		
BM_T_20M_R               	BM_T_20M_R               	34079754	34797996	34327008	34812722	68877750	69139730	34438875	34569865	1292172	1029196	33146703	33540669	16142215	15982495	1021993	24207031	8272893	1060745	30.0053	8.99572	345	2889		
BM_T_36M_R               	BM_T_36M_R               	35649276	36348442	34327008	34812722	71997718	69139730	35998859	34569865	1390336	1029196	34608523	33540669	27515881	6428288	664354	24207031	8272893	1060745	9.39321	8.99572	327	24976		
